Gene,P_Value
Glipr2,0.0025052288511966
Agap2,0.002742472884049
Espn,0.0029782633552384
Ppp1r1b,0.0032697836190858
Wnt4,0.0034699541769036
Nt5e,0.0042372174955955
Slc17a7,0.0043818797653619
Hnrnpl,0.0045385212544127
Cacng7,0.0047073681906981
Cd68,0.0048419757232335
Igf2bp1,0.0049707827296956
Ndrg2,0.0055969558119002
Irf5,0.0059915125617635
Prdx2,0.0066022178412061
Fbxl14,0.0066356747727739
Pgk1,0.0068422893394677
Reep6,0.0069326557714287
Efna3,0.007132824152806
Scarf2,0.0074678272147877
Sohlh2,0.0076000002154543
Celf5,0.0077376318684723
Cadm4,0.0079590085157117
Cyp2s1,0.0093138805186683
Dbn1,0.0096894725975494
Hnrnpm,0.0098898222106313
Map4k1,0.0099822499698537
Npr2,0.0101393227319357
Fmod,0.0104836456127249
Sord,0.0112573949773743
Prr5,0.0113095312893291
Gfer,0.0116347870616009
Spryd7,0.0117910543017286
Dstn,0.011800203844655
Zcwpw1,0.0124331260527298
Flnc,0.0127888886681324
Pcsk4,0.013055019048836
Nckipsd,0.0132836434825576
Lurap1l,0.0145066672011261
Ccdc136,0.0146194840397392
Igsf11,0.015226495331114
Dpysl5,0.015795528853416
Ccdc85c,0.0161888511151116
Rfng,0.0170041249844035
Crnde,0.0174942711408526
Tekt2,0.0175414619832055
Large2,0.0178346732459017
Tubg2,0.0190074630289762
Ankrd35,0.0202015326343338
Agmo,0.0207486296136954
Ecd,0.0208053512465202
Wnt1,0.0210975029071947
Mlkl,0.0215236272116441
Bmp7,0.0239560457613426
Rnf17,0.0245797420355994
Mdfi,0.0249494714475416
Slc2a3,0.0260394497074177
Hsd17b1,0.0266407226012952
Sirpa,0.0266509522856885
Hoxc13,0.0271412151523862
Mpzl1,0.0275272485952451
Mafa,0.0286587646792121
Hoxc5,0.0291470993595151
Rtn4rl1,0.0321914393628048
Tcea3,0.0331001848330091
Trim62,0.0345073094343414
Aig1,0.0367938759757089
Igf2,0.0421229285820417
Slc16a14,0.0424620508150647
Ggh,0.0424862440561649
Ciart,0.0444913810826563
Pard6g,0.0454250970247227
Zfta,0.0472953712564939
Ntn3,0.0473119880570904
Wnt5b,0.0498371755858359
Pgf,0.0499318782123563
Krt17,0.0505635989362194
Stab1,0.0545559358364828
Ninl,0.0607092081222971
Sec14l4,0.0628093150755767
Osr2,0.0638441804485128
Dact3,0.0644439297277311
Sf3b2,0.0679319319946144
Arhgap8,0.0697946614785463
Rspo1,0.0740387348057623
Foxa3,0.0755701702391637
Higd1a,0.0779874011671976
Glo1,0.0801841265133288
Mid1,0.0829536227659089
Krt19,0.0834716842943906
Sp6,0.0849947680132214
Hic2,0.0854134675675262
Sgk2,0.0867474533704219
Folr1,0.088857823111086
Serping1,0.0925226678668286
Bcam,0.0931776997796266
Cand2,0.0970402729123978
Fes,0.0973114946146395
Dusp2,0.106987963846259
Arhgdib,0.118696876857997
Cracd,0.12163683297772
Bin2,0.12218013282368
Caskin1,0.12296241818721
Nr5a1,0.125980242284325
Dnajc9,0.13174011274362
Igfbp2,0.13632010318608
Rrad,0.136334673076583
Tcf7,0.137172800416991
Sult1c2,0.139154247248385
Radil,0.140597544120737
Vill,0.151633152309346
Sptbn4,0.15241687646477
